,Date,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
17,2024-06-28,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
18,2024-06-29,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
19,2024-06-30,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
20,2024-07-01,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
21,2024-07-02,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
22,2024-07-03,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
23,2024-07-04,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
24,2024-07-05,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
25,2024-07-06,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
26,2024-07-07,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
27,2024-07-08,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
28,2024-07-09,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
29,2024-07-10,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
30,2024-07-11,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
31,2024-07-12,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
